date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,shortwave_radiation_sum
2010-01-01 18:30:00+00:00,69.21409606933594,48.42409896850586,57.787845611572266,0.0,5.149960517883301,14.149999618530273
2010-01-02 18:30:00+00:00,62.644100189208984,52.83409881591797,56.4903564453125,0.12992125749588013,8.009584426879883,4.760000228881836
2010-01-03 18:30:00+00:00,62.914100646972656,48.24409866333008,54.20659255981445,0.0,13.288985252380371,11.520000457763672
2010-01-04 18:30:00+00:00,67.50409698486328,48.69409942626953,56.227848052978516,0.0,12.515210151672363,14.729999542236328
2010-01-05 18:30:00+00:00,67.50409698486328,45.90409851074219,56.179107666015625,0.0,5.943856716156006,13.960000038146973
2010-01-06 18:30:00+00:00,67.14410400390625,44.19409942626953,55.64284896850586,0.0,4.818645477294922,14.210000038146973
2010-01-07 18:30:00+00:00,67.41410064697266,44.19409942626953,55.37285232543945,0.0,5.484073162078857,14.15999984741211
2010-01-08 18:30:00+00:00,65.0740966796875,46.26409912109375,54.671600341796875,0.0,5.943856716156006,13.899999618530273
2010-01-09 18:30:00+00:00,66.33409881591797,45.27410125732422,54.675350189208984,0.0,6.002501010894775,14.279999732971191
2010-01-10 18:30:00+00:00,66.60409545898438,44.824100494384766,54.69034957885742,0.0,7.3037285804748535,15.130000114440918
2010-01-11 18:30:00+00:00,67.0541000366211,41.58409881591797,54.6265983581543,0.031496062874794006,5.149960517883301,15.140000343322754
2010-01-12 18:30:00+00:00,65.88409423828125,50.31410217285156,56.381595611572266,0.24015747010707855,7.791057109832764,11.640000343322754
2010-01-13 18:30:00+00:00,67.3240966796875,45.27410125732422,55.53034973144531,0.0,8.858067512512207,15.100000381469727
2010-01-14 18:30:00+00:00,69.21409606933594,47.88410186767578,56.8916015625,0.0,8.352131843566895,14.739999771118164
2010-01-15 18:30:00+00:00,69.84410095214844,45.724098205566406,56.662841796875,0.0,7.826303482055664,15.489999771118164
2010-01-16 18:30:00+00:00,68.2240982055664,44.28409957885742,55.5115966796875,0.0,6.002501010894775,14.149999618530273
2010-01-17 18:30:00+00:00,67.59410095214844,44.10409927368164,54.24784851074219,0.0,5.871858596801758,13.270000457763672
2010-01-18 18:30:00+00:00,67.3240966796875,45.4541015625,54.082855224609375,0.0,5.905849933624268,12.680000305175781
2010-01-19 18:30:00+00:00,65.61409759521484,46.35409927368164,53.81284713745117,0.0,6.044041156768799,10.050000190734863
2010-01-20 18:30:00+00:00,66.60409545898438,46.804100036621094,54.62660217285156,0.0,7.105776786804199,11.0
2010-01-21 18:30:00+00:00,69.03409576416016,47.164100646972656,56.3441047668457,0.0,5.317288398742676,11.25
2010-01-22 18:30:00+00:00,71.5541000366211,47.7041015625,57.34159469604492,0.0,5.027031898498535,13.239999771118164
2010-01-23 18:30:00+00:00,74.43409729003906,48.24409866333008,59.86909866333008,0.0,5.605906009674072,13.930000305175781
2010-01-24 18:30:00+00:00,74.43409729003906,51.12409973144531,62.24659729003906,0.0,5.145099639892578,15.710000038146973
2010-01-25 18:30:00+00:00,74.79409790039062,51.12409973144531,61.669097900390625,0.0,6.988611698150635,15.079999923706055
2010-01-26 18:30:00+00:00,77.04409790039062,49.054100036621094,62.14535140991211,0.0,6.366613864898682,15.34000015258789
2010-01-27 18:30:00+00:00,77.40409851074219,52.02410125732422,63.92660903930664,0.0,5.524982452392578,13.489999771118164
2010-01-28 18:30:00+00:00,79.11409759521484,53.824100494384766,64.81534576416016,0.015748031437397003,6.335095405578613,15.029999732971191
2010-01-29 18:30:00+00:00,74.61409759521484,51.664100646972656,62.17535400390625,0.0,11.169329643249512,16.790000915527344
2010-01-30 18:30:00+00:00,72.27409362792969,47.88410186767578,59.53535079956055,0.0,6.409698009490967,16.8799991607666
2010-01-31 18:30:00+00:00,72.54409790039062,48.69409942626953,59.81285095214844,0.0,6.2675933837890625,15.869999885559082
2010-02-01 18:30:00+00:00,74.7041015625,45.99409866333008,60.0265998840332,0.0,7.965730667114258,17.239999771118164
2010-02-02 18:30:00+00:00,73.53409576416016,47.34410095214844,59.93659591674805,0.0,9.888450622558594,17.5
2010-02-03 18:30:00+00:00,75.78409576416016,48.33409881591797,61.44785690307617,0.0,10.655730247497559,17.469999313354492
2010-02-04 18:30:00+00:00,77.85409545898438,51.304100036621094,63.74660110473633,0.0,11.805341720581055,17.010000228881836
2010-02-05 18:30:00+00:00,82.44409942626953,51.664100646972656,66.31909942626953,0.0,7.86775541305542,17.3700008392334
2010-02-06 18:30:00+00:00,82.26409912109375,54.09410095214844,68.40409088134766,0.0,5.405954837799072,15.84000015258789
2010-02-07 18:30:00+00:00,76.9541015625,61.5640983581543,67.38035583496094,0.22440943121910095,11.408699989318848,8.470000267028809
2010-02-08 18:30:00+00:00,73.89410400390625,52.02410125732422,63.5328483581543,0.3346456289291382,12.18908405303955,13.979999542236328
2010-02-09 18:30:00+00:00,70.83409881591797,53.19409942626953,62.04410171508789,0.023622047156095505,6.579214096069336,12.050000190734863
2010-02-10 18:30:00+00:00,71.37409973144531,50.94409942626953,60.765350341796875,0.0,5.773020267486572,17.729999542236328
2010-02-11 18:30:00+00:00,72.63409423828125,51.75410079956055,61.56034469604492,0.0,5.110945224761963,15.479999542236328
2010-02-12 18:30:00+00:00,73.53409576416016,51.394100189208984,62.321598052978516,0.0,6.725896835327148,17.049999237060547
2010-02-13 18:30:00+00:00,73.44409942626953,49.414100646972656,61.012847900390625,0.0,7.791057109832764,19.0
